Name,Value
ABBYY FineReader for ScanSnap (TM) 5.0,Fujitsu Scanner
ADD Tabular or One-Line Display.lnk,ADD Tabular or One-Line Display
Adobe Acrobat XI Pro.lnk,Adobe Acrobat XI Pro
Agent Desktop Displays,ADD Tabular or One-Line Display
Allscripts,AEDScanViewer
BedMasterEx, Excel Medical BedMaster
ChartView.lnk,3M ChartView
Cisco Webex Meetings Desktop App,Cisco Webex
EloConfig.lnk,ELO Monitor Drivers
fi Series,Fujitsu Scanner
GlucoStabilizer.url,Alere GlucoStabilizer
Google Chrome.lnk,Google Chrome
Ingenico,Trust Commerce
Juniper Networks,Network Connect
Launch AdminConsole.lnk,3M AdminConsole
McKesson, McKesson PHS
Microsoft SOAP Toolkit Version 3,Microsoft SOAP Toolkit Version 3(Don't re-install unless requested)
Network Edition,Dragon
Network Edition.lnk,Dragon
Open Text,RightFax
Oracle - OraClient11g_home1_32bit,Oracle Client
PaperStream Capture,Fujitsu Scanner
PFS.lnk,3M PFS
SCI Solutions,Schedule Maximizer
SMS,Attachmate EXTRA
SMS.lnk,Attachmate EXTRA
SMS-2.lnk,Attachmate EXTRA
ThunderboltT Software,ThunderboltT Software(CHECK FOR WINDOWS 10)
XactiMed,MedAssets Revenue Solutions
,
Access,Office365
Excel,Office365
OneNote 2016,Office365
Outlook,Office365
PowerPoint,Office365
Publisher,Office365
Word,Office365